Order_ID,Order_Date,Customer_Name,Age,Gender,County,Branch,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Salesperson,Customer_Type
ORD00034,2025-04-12,Kevin Mwangi,20,Male,Kisumu,Kisumu,Smartphone,Tecno Camon 40,4,28000,5,106400.0,79126.4,27273.6,Mastercard,Faith,Returning
ORD00035,2025-05-05,Kevin Njoroge,62,Male,Uasin Gishu,Eldoret,Smartphone,Tecno Camon 40,2,28000,5,53200.0,40475.73,12724.27,Mastercard,Kevin,New
ORD00036,2025-03-04,Samuel Kiptoo,47,Female,Uasin Gishu,Eldoret,Accessories,Power Bank,4,4200,5,15960.0,11949.75,4010.25,Mastercard,Faith,Returning
ORD00037,2025-05-07,Peter Omondi,49,Male,Mombasa,Mombasa,Accessories,AirPods Pro,3,36000,5,102600.0,67135.59,35464.41,Visa,Grace,New
ORD00038,2025-03-19,Grace Kamau,62,Male,Kiambu,Thika,Laptop,MacBook Air M4,4,210000,15,714000.0,475649.86,238350.14,Mastercard,John,New
ORD00039,2025-04-16,Joseph Kamau,55,Male,Uasin Gishu,Eldoret,Accessories,Power Bank,1,4200,10,3780.0,2493.75,1286.25,Mastercard,John,New
ORD00040,2025-09-07,Grace Maina,45,Female,Nairobi,Nairobi CBD,Accessories,Mechanical Keyboard,4,9500,5,36100.0,27728.45,8371.55,M-Pesa,Kevin,Returning
ORD00041,2025-10-31,Lilian Njoroge,19,Male,Kiambu,Thika,Accessories,Wireless Mouse,4,2800,5,10640.0,6491.01,4148.99,Mastercard,David,New
ORD00042,2025-08-21,David Mutiso,42,Female,Uasin Gishu,Eldoret,Accessories,Mechanical Keyboard,1,9500,15,8075.0,4876.3,3198.7,Cash,David,New
ORD00043,2025-11-29,John Njoroge,20,Male,Nairobi,Westlands,Laptop,MacBook Air M4,2,210000,5,399000.0,249472.43,149527.57,Cash,Brian,Returning
ORD00044,2025-12-25,Peter Mutiso,28,Male,Uasin Gishu,Eldoret,Laptop,Dell Inspiron,1,87000,0,87000.0,68362.64,18637.36,Mastercard,John,New
ORD00045,2025-02-08,Lilian Wanjiku,58,Male,Nairobi,Nairobi CBD,TV,Hisense 43 inch,1,43000,0,43000.0,28785.95,14214.05,Mastercard,David,New
ORD00046,2025-09-17,David Mwangi,44,Female,Nairobi,Nairobi CBD,Accessories,Mechanical Keyboard,4,9500,5,36100.0,24804.22,11295.78,Visa,Faith,Returning
ORD00047,2025-08-12,Lilian Maina,38,Male,Uasin Gishu,Eldoret,Smartphone,Redmi Note 14,4,38000,5,144400.0,108313.76,36086.24,Mastercard,David,New
ORD00048,2025-09-11,David Kiptoo,49,Male,Mombasa,Mombasa,TV,LG OLED 65 inch,3,195000,10,526500.0,374424.8,152075.2,M-Pesa,Grace,New
ORD00049,2025-07-28,Ann Omondi,33,Female,Kiambu,Thika,Accessories,Power Bank,1,4200,0,4200.0,2767.16,1432.84,Mastercard,Brian,Returning
ORD00050,2025-12-06,Lilian Mutiso,48,Female,Kisumu,Kisumu,TV,LG OLED 65 inch,4,195000,10,702000.0,464249.87,237750.13,M-Pesa,Grace,New
ORD00051,2025-06-11,Faith Wanjiku,52,Male,Nairobi,Westlands,Laptop,Lenovo ThinkPad,3,115000,10,310500.0,247189.71,63310.29,M-Pesa,Alice,New
ORD00052,2025-07-04,Brian Maina,18,Male,Mombasa,Mombasa,Smartphone,Samsung Galaxy S25,3,145000,5,413250.0,300669.93,112580.07,Mastercard,Grace,New
ORD00053,2025-10-21,Alice Achieng,48,Female,Mombasa,Mombasa,Laptop,MacBook Air M4,3,210000,15,535500.0,333518.73,201981.27,Cash,John,Returning
ORD00054,2025-02-07,Lilian Njoroge,61,Male,Nairobi,Westlands,Laptop,Dell Inspiron,1,87000,5,82650.0,51548.0,31102.0,Mastercard,Brian,Returning
ORD00055,2025-08-19,Samuel Maina,55,Female,Mombasa,Mombasa,Smartphone,Samsung Galaxy S25,2,145000,5,275500.0,179882.0,95618.0,Cash,Mercy,New
ORD00056,2025-03-30,Daniel Otieno,28,Male,Kisumu,Kisumu,Accessories,Power Bank,3,4200,0,12600.0,8143.32,4456.68,Visa,Faith,New
ORD00057,2025-12-18,Grace Maina,58,Male,Kisumu,Kisumu,Smartphone,iPhone 16,2,185000,10,333000.0,254853.64,78146.36,Cash,Kevin,New
ORD00058,2025-06-07,Rose Wanjiku,54,Female,Kisumu,Kisumu,Smartphone,Tecno Camon 40,3,28000,15,71400.0,56301.42,15098.58,Mastercard,Faith,New
ORD00059,2025-11-03,Mary Kamau,65,Female,Nakuru,Nakuru,TV,Samsung 55 inch,1,82000,5,77900.0,61726.57,16173.43,Cash,Alice,New
ORD00060,2025-03-31,Ann Omondi,59,Female,Mombasa,Mombasa,Laptop,Lenovo ThinkPad,4,115000,0,460000.0,319240.96,140759.04,Mastercard,David,Returning
ORD00061,2025-12-10,Faith Kiptoo,39,Female,Kiambu,Thika,Accessories,Mechanical Keyboard,4,9500,0,38000.0,26256.68,11743.32,Visa,Alice,Returning
ORD00062,2025-03-01,Michael Omondi,18,Female,Kisumu,Kisumu,Smartphone,iPhone 16,3,185000,15,471750.0,342057.31,129692.69,Cash,Brian,Returning
ORD00063,2025-10-09,Kevin Maina,46,Female,Nairobi,Nairobi CBD,Smartphone,iPhone 16,2,185000,10,333000.0,236485.88,96514.12,Mastercard,Grace,New
ORD00064,2025-02-28,Samuel Otieno,59,Male,Kisumu,Kisumu,TV,Hisense 43 inch,3,43000,15,109650.0,84095.5,25554.5,Mastercard,Brian,Returning
ORD00065,2025-10-10,Kevin Kamau,30,Male,Uasin Gishu,Eldoret,Smartphone,Redmi Note 14,4,38000,10,136800.0,107641.04,29158.96,Visa,Kevin,Returning
ORD00066,2025-06-02,Lilian Kariuki,60,Female,Uasin Gishu,Eldoret,Laptop,Lenovo ThinkPad,4,115000,10,414000.0,275926.03,138073.97,Mastercard,Faith,Returning
ORD00067,2025-04-07,Grace Kariuki,42,Male,Uasin Gishu,Eldoret,Accessories,AirPods Pro,3,36000,15,91800.0,68027.98,23772.02,Mastercard,John,New
ORD00068,2025-09-11,Mary Kiptoo,50,Female,Uasin Gishu,Eldoret,Smartphone,Tecno Camon 40,1,28000,15,23800.0,14353.05,9446.95,M-Pesa,John,New
ORD00069,2025-02-08,Ann Maina,39,Female,Kiambu,Thika,Smartphone,Redmi Note 14,4,38000,10,136800.0,99229.23,37570.77,Mastercard,Kevin,New
ORD00070,2025-05-01,Alice Kimani,65,Male,Kisumu,Kisumu,Smartphone,Samsung Galaxy S25,4,145000,5,551000.0,407078.93,143921.07,Cash,Kevin,Returning
ORD00071,2025-01-29,Alice Mutiso,41,Female,Nairobi,Westlands,Laptop,Lenovo ThinkPad,2,115000,5,218500.0,138750.53,79749.47,Mastercard,Brian,Returning
ORD00072,2025-10-26,Kevin Kimani,47,Female,Kisumu,Kisumu,TV,Hisense 43 inch,1,43000,15,36550.0,28517.84,8032.16,M-Pesa,Grace,Returning
ORD00073,2025-06-26,Lilian Maina,58,Female,Kiambu,Thika,TV,LG OLED 65 inch,3,195000,5,555750.0,444530.37,111219.63,Mastercard,Grace,New
ORD00074,2025-07-15,Lilian Mutiso,54,Female,Kiambu,Thika,TV,Samsung 55 inch,4,82000,10,295200.0,177598.1,117601.9,Cash,Faith,Returning
ORD00075,2025-04-28,Rose Mutiso,32,Male,Nakuru,Nakuru,TV,Hisense 43 inch,2,43000,0,86000.0,67138.54,18861.46,Cash,Alice,Returning
ORD00076,2025-01-18,Lilian Mutiso,64,Male,Nairobi,Nairobi CBD,TV,LG OLED 65 inch,4,195000,5,741000.0,474357.79,266642.21,Visa,Alice,New
ORD00077,2025-05-12,Ann Maina,65,Female,Uasin Gishu,Eldoret,Smartphone,Tecno Camon 40,1,28000,5,26600.0,19972.09,6627.91,M-Pesa,John,Returning
ORD00078,2025-02-16,Michael Mwangi,34,Male,Kisumu,Kisumu,TV,Hisense 43 inch,3,43000,15,109650.0,83825.61,25824.39,Visa,Grace,New
ORD00079,2025-08-30,James Kariuki,53,Female,Nakuru,Nakuru,Laptop,MacBook Air M4,4,210000,10,756000.0,551765.0,204235.0,Cash,Mercy,New
ORD00080,2025-01-20,Alice Achieng,25,Male,Nairobi,Westlands,Laptop,Lenovo ThinkPad,4,115000,10,414000.0,303916.26,110083.74,Mastercard,Mercy,Returning
ORD00081,2025-12-02,Faith Achieng,57,Female,Mombasa,Mombasa,Smartphone,Redmi Note 14,2,38000,15,64600.0,44505.47,20094.53,M-Pesa,David,New
ORD00082,2025-12-18,Joy Omondi,59,Female,Nairobi,Nairobi CBD,Accessories,Mechanical Keyboard,2,9500,0,19000.0,15006.24,3993.76,Mastercard,Grace,New
ORD00083,2025-11-25,Rose Mwangi,21,Female,Nairobi,Westlands,Laptop,HP EliteBook,1,98000,5,93100.0,66778.45,26321.55,M-Pesa,David,New
ORD00084,2025-11-02,James Maina,27,Male,Nakuru,Nakuru,TV,Samsung 55 inch,1,82000,0,82000.0,51361.57,30638.43,Visa,Brian,Returning
ORD00085,2025-01-09,Brian Maina,21,Male,Kiambu,Thika,Accessories,AirPods Pro,1,36000,15,30600.0,21103.44,9496.56,Visa,Grace,Returning
ORD00086,2025-09-15,Grace Kariuki,20,Female,Kisumu,Kisumu,Smartphone,Samsung Galaxy S25,4,145000,15,493000.0,337830.58,155169.42,Cash,Faith,Returning
ORD00087,2025-02-07,John Mutiso,56,Male,Nairobi,Nairobi CBD,Laptop,Dell Inspiron,3,87000,15,221850.0,177241.63,44608.37,Visa,Faith,Returning
ORD00088,2025-02-20,Faith Njoroge,59,Male,Kisumu,Kisumu,Accessories,Wireless Mouse,4,2800,10,10080.0,7716.08,2363.92,Mastercard,John,New
ORD00089,2025-06-10,Joseph Mutiso,60,Female,Mombasa,Mombasa,Laptop,Lenovo ThinkPad,1,115000,0,115000.0,88130.75,26869.25,Cash,John,New
ORD00090,2025-07-10,Kevin Omondi,21,Female,Kiambu,Thika,Smartphone,Tecno Camon 40,3,28000,15,71400.0,55236.36,16163.64,Cash,Alice,Returning
ORD00091,2025-06-30,Faith Kariuki,50,Male,Nairobi,Westlands,Accessories,Wireless Mouse,1,2800,10,2520.0,1938.07,581.93,Visa,Grace,Returning
ORD00092,2025-10-21,Grace Kamau,53,Male,Nakuru,Nakuru,TV,Samsung 55 inch,2,82000,10,147600.0,109303.67,38296.33,Visa,David,Returning
ORD00093,2025-01-04,Brian Kiptoo,54,Female,Nairobi,Nairobi CBD,Laptop,MacBook Air M4,1,210000,5,199500.0,134710.16,64789.84,Mastercard,David,New
ORD00094,2025-07-09,Alice Wanjiku,38,Male,Nairobi,Nairobi CBD,Laptop,HP EliteBook,1,98000,0,98000.0,64133.22,33866.78,Mastercard,Faith,Returning
ORD00095,2025-08-01,Peter Kimani,50,Male,Mombasa,Mombasa,Accessories,AirPods Pro,3,36000,15,91800.0,64754.51,27045.49,Visa,Kevin,New
ORD00096,2025-07-22,Rose Mwangi,18,Male,Mombasa,Mombasa,Laptop,HP EliteBook,3,98000,10,264600.0,176124.24,88475.76,Cash,Faith,Returning
ORD00097,2025-03-31,Kevin Kamau,52,Male,Nakuru,Nakuru,TV,Samsung 55 inch,4,82000,0,328000.0,225416.01,102583.99,Mastercard,Grace,Returning
ORD00098,2025-10-22,Joseph Kariuki,43,Female,Mombasa,Mombasa,Smartphone,Tecno Camon 40,1,28000,10,25200.0,15986.24,9213.76,Mastercard,David,New
ORD00099,2025-08-12,Faith Kimani,45,Female,Nakuru,Nakuru,Smartphone,Tecno Camon 40,3,28000,10,75600.0,48710.17,26889.83,M-Pesa,Grace,New
ORD00100,2025-09-29,Esther Kimani,40,Female,Kiambu,Thika,Laptop,HP EliteBook,1,98000,5,93100.0,60626.13,32473.87,M-Pesa,Mercy,New
ORD00101,2025-04-01,Ann Achieng,54,Female,Kiambu,Thika,TV,Hisense 43 inch,3,43000,5,122550.0,84308.59,38241.41,Mastercard,Faith,Returning
ORD00102,2025-05-21,Lilian Mwangi,40,Male,Mombasa,Mombasa,Accessories,Power Bank,1,4200,0,4200.0,2829.74,1370.26,Visa,Grace,New
ORD00103,2025-11-11,Rose Omondi,42,Female,Nakuru,Nakuru,Smartphone,Tecno Camon 40,2,28000,10,50400.0,36338.46,14061.54,M-Pesa,Kevin,Returning
ORD00104,2025-02-22,David Wanjiku,23,Male,Nairobi,Nairobi CBD,Laptop,Lenovo ThinkPad,4,115000,5,437000.0,294004.68,142995.32,Visa,John,Returning
ORD00105,2025-06-23,Rose Mwangi,58,Female,Nairobi,Nairobi CBD,TV,Samsung 55 inch,4,82000,10,295200.0,191997.83,103202.17,M-Pesa,David,New
ORD00106,2025-10-26,Kevin Mutiso,37,Female,Nairobi,Westlands,Smartphone,Redmi Note 14,4,38000,10,136800.0,104328.74,32471.26,Cash,John,Returning
ORD00107,2025-01-10,Joy Maina,29,Male,Mombasa,Mombasa,Accessories,Wireless Mouse,2,2800,5,5320.0,3356.86,1963.14,Visa,Grace,New
ORD00108,2025-12-05,David Kariuki,26,Female,Nairobi,Westlands,Laptop,HP EliteBook,2,98000,15,166600.0,101415.83,65184.17,Visa,Brian,Returning
ORD00109,2025-11-09,Alice Wanjiku,46,Male,Nakuru,Nakuru,Laptop,Dell Inspiron,4,87000,5,330600.0,222681.64,107918.36,Mastercard,Faith,Returning
ORD00110,2025-07-15,Esther Omondi,44,Male,Uasin Gishu,Eldoret,Laptop,HP EliteBook,3,98000,0,294000.0,214101.33,79898.67,Visa,Grace,New
ORD00111,2025-05-26,John Kiptoo,35,Female,Nakuru,Nakuru,Laptop,Lenovo ThinkPad,1,115000,5,109250.0,83394.97,25855.03,Visa,Kevin,Returning
ORD00112,2025-01-28,Michael Omondi,41,Male,Kisumu,Kisumu,Smartphone,Redmi Note 14,2,38000,0,76000.0,50444.01,25555.99,Cash,David,New
ORD00113,2025-03-12,Mary Maina,48,Male,Uasin Gishu,Eldoret,Accessories,Power Bank,1,4200,0,4200.0,2535.96,1664.04,M-Pesa,Mercy,Returning
ORD00114,2025-02-26,Alice Kimani,37,Male,Nairobi,Nairobi CBD,Laptop,Lenovo ThinkPad,4,115000,0,460000.0,286198.93,173801.07,Mastercard,Kevin,New
ORD00115,2025-03-15,Alice Kamau,18,Female,Nairobi,Westlands,Accessories,Wireless Mouse,1,2800,10,2520.0,1546.11,973.89,Cash,John,Returning
ORD00116,2025-01-23,Michael Mutiso,34,Male,Mombasa,Mombasa,Smartphone,Redmi Note 14,2,38000,0,76000.0,57326.82,18673.18,Visa,Mercy,New
ORD00117,2025-06-30,Daniel Mutiso,59,Male,Uasin Gishu,Eldoret,Accessories,Power Bank,2,4200,5,7980.0,4888.71,3091.29,Mastercard,Kevin,Returning
ORD00118,2025-04-14,Mary Kimani,20,Female,Mombasa,Mombasa,Accessories,Power Bank,3,4200,0,12600.0,9458.29,3141.71,M-Pesa,Alice,Returning
ORD00119,2025-01-25,David Maina,25,Female,Kisumu,Kisumu,Accessories,Power Bank,4,4200,10,15120.0,12016.54,3103.46,Mastercard,Faith,Returning
ORD00120,2025-09-23,Peter Otieno,64,Female,Nairobi,Nairobi CBD,Accessories,Wireless Mouse,3,2800,10,7560.0,4691.13,2868.87,Visa,Alice,Returning
ORD00121,2025-08-17,Rose Wanjiku,45,Male,Kiambu,Thika,Accessories,Mechanical Keyboard,4,9500,0,38000.0,28323.79,9676.21,Visa,John,Returning
ORD00122,2025-11-24,Mary Otieno,60,Female,Mombasa,Mombasa,Laptop,MacBook Air M4,2,210000,15,357000.0,216684.65,140315.35,Cash,Brian,Returning
ORD00123,2025-07-05,Michael Kariuki,20,Male,Kiambu,Thika,Accessories,Mechanical Keyboard,3,9500,15,24225.0,18232.14,5992.86,M-Pesa,David,Returning
ORD00124,2025-06-10,Peter Kimani,25,Male,Kiambu,Thika,Laptop,Lenovo ThinkPad,4,115000,0,460000.0,300083.45,159916.55,Visa,Faith,New
ORD00125,2025-11-10,Alice Wanjiku,49,Male,Nairobi,Nairobi CBD,Laptop,MacBook Air M4,4,210000,5,798000.0,622229.17,175770.83,Mastercard,Grace,Returning
ORD00126,2025-12-08,Joy Wanjiku,22,Female,Mombasa,Mombasa,Laptop,HP EliteBook,3,98000,5,279300.0,174359.31,104940.69,M-Pesa,Mercy,New
ORD00127,2025-09-10,James Mutiso,53,Female,Kisumu,Kisumu,Laptop,MacBook Air M4,1,210000,10,189000.0,128450.45,60549.55,Mastercard,John,Returning
ORD00128,2025-10-22,John Kiptoo,38,Male,Kisumu,Kisumu,Accessories,Mechanical Keyboard,2,9500,5,18050.0,13601.69,4448.31,M-Pesa,John,New
ORD00129,2025-03-05,Esther Kiptoo,37,Male,Nairobi,Westlands,TV,Hisense 43 inch,2,43000,10,77400.0,61107.04,16292.96,Visa,Grace,Returning
ORD00130,2025-04-11,Daniel Maina,26,Female,Nakuru,Nakuru,Smartphone,iPhone 16,2,185000,5,351500.0,257208.92,94291.08,Visa,Kevin,New
ORD00131,2025-02-11,Mary Njoroge,54,Female,Kiambu,Thika,Laptop,Lenovo ThinkPad,1,115000,15,97750.0,76029.89,21720.11,Visa,Alice,Returning
ORD00132,2025-05-06,Michael Maina,47,Male,Kiambu,Thika,Smartphone,iPhone 16,4,185000,15,629000.0,438318.79,190681.21,M-Pesa,David,New
ORD00133,2025-06-10,David Wanjiku,40,Female,Nairobi,Westlands,TV,Hisense 43 inch,1,43000,10,38700.0,25091.05,13608.95,Cash,Alice,Returning
ORD00134,2025-05-07,Kevin Otieno,21,Female,Kisumu,Kisumu,Accessories,Wireless Mouse,2,2800,10,5040.0,3965.22,1074.78,Visa,Brian,New
ORD00135,2025-09-13,Esther Achieng,49,Female,Kisumu,Kisumu,Smartphone,Samsung Galaxy S25,4,145000,15,493000.0,391115.3,101884.7,M-Pesa,David,New
ORD00136,2025-01-26,Alice Achieng,56,Female,Mombasa,Mombasa,Smartphone,Samsung Galaxy S25,4,145000,5,551000.0,427846.62,123153.38,Visa,John,Returning
ORD00137,2025-01-24,Michael Mwangi,54,Male,Mombasa,Mombasa,TV,Samsung 55 inch,4,82000,15,278800.0,209903.17,68896.83,Visa,Grace,New
ORD00138,2025-02-19,Michael Mutiso,39,Female,Uasin Gishu,Eldoret,Laptop,HP EliteBook,4,98000,0,392000.0,238751.78,153248.22,M-Pesa,David,Returning
ORD00139,2025-09-23,Samuel Kiptoo,56,Male,Mombasa,Mombasa,TV,Samsung 55 inch,4,82000,10,295200.0,212173.5,83026.5,Mastercard,Alice,Returning
ORD00140,2025-01-09,Joy Mutiso,61,Male,Kisumu,Kisumu,TV,Hisense 43 inch,1,43000,15,36550.0,23871.03,12678.97,M-Pesa,Kevin,Returning
ORD00141,2025-03-29,Esther Njoroge,64,Female,Nairobi,Westlands,Laptop,MacBook Air M4,1,210000,5,199500.0,120455.6,79044.4,Visa,John,New
ORD00142,2025-07-31,Mercy Kamau,50,Female,Uasin Gishu,Eldoret,Smartphone,iPhone 16,2,185000,10,333000.0,266274.98,66725.02,Mastercard,John,Returning
ORD00143,2025-03-30,Samuel Omondi,39,Female,Kiambu,Thika,TV,Hisense 43 inch,4,43000,5,163400.0,129325.79,34074.21,Visa,Alice,New
ORD00144,2025-06-02,Alice Wanjiku,31,Female,Mombasa,Mombasa,Accessories,Mechanical Keyboard,3,9500,10,25650.0,16015.21,9634.79,Mastercard,John,Returning
ORD00145,2025-03-16,Alice Mwangi,36,Male,Mombasa,Mombasa,Accessories,Mechanical Keyboard,4,9500,5,36100.0,23118.93,12981.07,Visa,Alice,New
ORD00146,2025-02-25,Rose Wanjiku,55,Male,Nairobi,Westlands,Smartphone,iPhone 16,2,185000,0,370000.0,229414.65,140585.35,Visa,Faith,New
ORD00147,2025-12-15,Kevin Mwangi,53,Male,Kisumu,Kisumu,Accessories,Power Bank,2,4200,10,7560.0,5021.61,2538.39,Cash,Grace,New
ORD00148,2025-10-01,Mary Kiptoo,44,Male,Nairobi,Nairobi CBD,Accessories,Power Bank,2,4200,10,7560.0,5861.64,1698.36,Cash,Alice,New
ORD00149,2025-06-21,Alice Achieng,59,Female,Nairobi,Westlands,Accessories,Mechanical Keyboard,2,9500,0,19000.0,12656.6,6343.4,Mastercard,Alice,New
ORD00150,2025-01-08,David Maina,54,Male,Nairobi,Westlands,Accessories,Power Bank,3,4200,0,12600.0,8570.1,4029.9,Cash,Mercy,New
ORD00151,2025-09-02,David Kimani,18,Female,Kisumu,Kisumu,Laptop,Lenovo ThinkPad,3,115000,10,310500.0,205050.84,105449.16,Cash,Alice,Returning
ORD00152,2025-12-21,Grace Mwangi,60,Male,Kisumu,Kisumu,TV,Samsung 55 inch,4,82000,10,295200.0,217874.74,77325.26,Visa,David,New
ORD00153,2025-04-23,Kevin Achieng,27,Female,Kiambu,Thika,TV,LG OLED 65 inch,4,195000,5,741000.0,557507.6,183492.4,Cash,Faith,Returning
ORD00154,2025-02-09,Lilian Otieno,21,Male,Nakuru,Nakuru,Laptop,HP EliteBook,3,98000,15,249900.0,155749.68,94150.32,M-Pesa,Faith,New
ORD00155,2025-09-19,Samuel Mwangi,47,Male,Nakuru,Nakuru,Accessories,Power Bank,1,4200,15,3570.0,2622.36,947.64,Visa,Kevin,Returning
ORD00156,2025-05-11,James Wanjiku,31,Male,Nairobi,Nairobi CBD,Accessories,Mechanical Keyboard,1,9500,0,9500.0,7475.71,2024.29,Cash,Faith,New
ORD00157,2025-05-27,Joseph Kiptoo,26,Female,Mombasa,Mombasa,Accessories,Power Bank,4,4200,15,14280.0,8797.19,5482.81,M-Pesa,David,New
ORD00158,2025-04-02,Daniel Kamau,51,Male,Kiambu,Thika,Laptop,MacBook Air M4,1,210000,10,189000.0,130901.55,58098.45,Mastercard,John,New
ORD00159,2025-05-07,Samuel Mutiso,27,Female,Nairobi,Westlands,Smartphone,Samsung Galaxy S25,4,145000,0,580000.0,375917.29,204082.71,Cash,Grace,New
